GDP,Population,medal
124.4608003,66224804,8
279.6195693,4898400,1
313.5680341,17711927,1
397.4826588,31964557,7
440.6720307,2923783,2
443.3141934,1056575549,1
558.2268024,24650400,4
622.7421391,3069591,1
635.7005351,49176500,35
649.9918454,15513945,18
655.0974326,8048600,3
749.9085236,4077131,6
959.3724836,1262645000,79
1229.000958,14883626,7
1276.288034,9979610,22
1334.943051,28793679,5
1659.90764,22442971,46
1771.594059,146596869,188
1854.145956,2034819,1
2007.735175,62952642,3
2520.480898,39629968,1
2747.098575,11126430,69
3297.354701,3499536,17
3384.694861,2654701,23
3749.75325,174790340,48
4075.970639,1396985,3
4316.548907,63240194,5
4492.727604,38258629,24
4624.281657,10210971,53
5413.150621,5388720,6
6011.61522,10255063,9
7157.8145,98899845,6
7708.100996,36870787,20
12256.99357,47008111,73
13641.10272,3857700,4
14713.06571,40567864,43
20087.59199,56942108,65
21043.57493,6289000,1
21679.24784,19153000,183
22364.02939,60912500,66
23041.53473,10251250,7
24190.24962,30685730,31
24285.46682,5176209,5
24564.45829,8011566,4
26241.36461,3805174,1
28149.87001,58892514,55
29624.91267,8872109,32
29976.11704,592468,1
32018.06368,281205,1
36334.90878,282162411,248
38131.46061,4490967,44
38532.04088,126843000,43
43381.65784,148443,18
