Year,Sport,Discipline,Country,Gender,Medal
2008,Taekwondo,Taekwondo,AFG,Men,Bronze
2012,Taekwondo,Taekwondo,AFG,Men,Bronze
1988,Sailing,Sailing,AHO,Men,Silver
1984,Boxing,Boxing,ALG,Men,Bronze
1984,Boxing,Boxing,ALG,Men,Bronze
1992,Athletics,Athletics,ALG,Women,Gold
1992,Boxing,Boxing,ALG,Men,Bronze
1996,Athletics,Athletics,ALG,Men,Gold
1996,Boxing,Boxing,ALG,Men,Gold
1996,Boxing,Boxing,ALG,Men,Bronze
2000,Athletics,Athletics,ALG,Women,Gold
2000,Athletics,Athletics,ALG,Men,Silver
2000,Athletics,Athletics,ALG,Men,Bronze
2000,Athletics,Athletics,ALG,Men,Bronze
2000,Boxing,Boxing,ALG,Men,Bronze
2008,Judo,Judo,ALG,Women,Bronze
2008,Judo,Judo,ALG,Men,Silver
2012,Athletics,Athletics,ALG,Men,Gold
1908,Aquatics,Swimming,ANZ,Men,Bronze
1908,Aquatics,Swimming,ANZ,Men,Silver
1908,Athletics,Athletics,ANZ,Men,Bronze
1908,Boxing,Boxing,ANZ,Men,Silver
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1912,Aquatics,Swimming,ANZ,Men,Silver
1912,Aquatics,Swimming,ANZ,Women,Gold
1912,Aquatics,Swimming,ANZ,Women,Silver
1912,Aquatics,Swimming,ANZ,Men,Bronze
1912,Aquatics,Swimming,ANZ,Men,Bronze
1912,Aquatics,Swimming,ANZ,Men,Gold
1912,Aquatics,Swimming,ANZ,Men,Gold
1912,Aquatics,Swimming,ANZ,Men,Gold
1912,Aquatics,Swimming,ANZ,Men,Gold
1912,Tennis,Tennis,ANZ,Men,Bronze
1924,Athletics,Athletics,ARG,Men,Silver
1924,Boxing,Boxing,ARG,Men,Bronze
1924,Boxing,Boxing,ARG,Men,Bronze
1924,Boxing,Boxing,ARG,Men,Silver
1924,Boxing,Boxing,ARG,Men,Silver
1924,Polo,Polo,ARG,Men,Gold
1924,Polo,Polo,ARG,Men,Gold
1924,Polo,Polo,ARG,Men,Gold
1924,Polo,Polo,ARG,Men,Gold
1924,Polo,Polo,ARG,Men,Gold
1924,Polo,Polo,ARG,Men,Gold
1928,Aquatics,Swimming,ARG,Men,Gold
1928,Boxing,Boxing,ARG,Men,Gold
1928,Boxing,Boxing,ARG,Men,Silver
1928,Boxing,Boxing,ARG,Men,Silver
1928,Boxing,Boxing,ARG,Men,Gold
1928,Fencing,Fencing,ARG,Men,Bronze
1928,Fencing,Fencing,ARG,Men,Bronze
1928,Fencing,Fencing,ARG,Men,Bronze
1928,Fencing,Fencing,ARG,Men,Bronze
1928,Fencing,Fencing,ARG,Men,Bronze
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1932,Athletics,Athletics,ARG,Men,Gold
1932,Boxing,Boxing,ARG,Men,Gold
1932,Boxing,Boxing,ARG,Men,Gold
1932,Boxing,Boxing,ARG,Men,Silver
1936,Aquatics,Swimming,ARG,Women,Silver
1936,Boxing,Boxing,ARG,Men,Silver
1936,Boxing,Boxing,ARG,Men,Gold
1936,Boxing,Boxing,ARG,Men,Bronze
1936,Boxing,Boxing,ARG,Men,Bronze
1936,Polo,Polo,ARG,Men,Gold
1936,Polo,Polo,ARG,Men,Gold
1936,Polo,Polo,ARG,Men,Gold
1936,Polo,Polo,ARG,Men,Gold
1936,Rowing,Rowing,ARG,Men,Bronze
1936,Rowing,Rowing,ARG,Men,Bronze
1948,Athletics,Athletics,ARG,Women,Silver
1948,Athletics,Athletics,ARG,Men,Gold
